UNIFAC_parameters

-type
  classic
  
-list_of_main_groups
  2   36  -259.1     0.0  0.0  395.8      0.0  0.0
  2   37  389.3      0.0  0.0  -237.2     0.0  0.0
  2   38  245.6      0.0  0.0  -133.9     0.0  0.0
  2   39  22.67      0.0  0.0  140.6      0.0  0.0
  2   40  103.5      0.0  0.0  317.6      0.0  0.0
  2   41  -432.3     0.0  0.0  787.9      0.0  0.0
  2   42  238.9      0.0  0.0  234.4      0.0  0.0
  2   43  30.04      0.0  0.0  -23.88     0.0  0.0
  2   44  -88.11     0.0  0.0  167.9      0.0  0.0
  2   46  333.3      0.0  0.0  -86.88     0.0  0.0
  2   48  -59.58     0.0  0.0  142.9      0.0  0.0
  2   49  -39.16     0.0  0.0  23.93      0.0  0.0
  2   51  360.82     0.0  0.0  47.05      0.0  0.0
  3   0   -69.7      0.0  0.0  76.5       0.0  0.0
  3   1   -113.6     0.0  0.0  74.15      0.0  0.0
  3   2   -146.8     0.0  0.0  167.0      0.0  0.0
  3   3   0.0        0.0  0.0  0.0        0.0  0.0
  3   4   803.2      0.0  0.0  25.82      0.0  0.0
  3   5   603.25     0.0  0.0  -44.5      0.0  0.0
  3   6   5695.0     0.0  0.0  377.6      0.0  0.0
  3   7   884.9      0.0  0.0  244.2      0.0  0.0
  3   8   -52.1      0.0  0.0  365.8      0.0  0.0
  3   9   586.8      0.0  0.0  106.0      0.0  0.0
  3   10  5688.0     0.0  0.0  -170.0     0.0  0.0
  3   11  197.8      0.0  0.0  428.0      0.0  0.0
  3   12  213.1      0.0  0.0  65.69      0.0  0.0
  3   13  19.02      0.0  0.0  296.4      0.0  0.0
  3   14  -49.29     0.0  0.0  223.0      0.0  0.0
  3   15  23.5       0.0  0.0  109.9      0.0  0.0
  3   16  664.2      0.0  0.0  762.8      0.0  0.0
  3   17  52.8       0.0  0.0  49.8       0.0  0.0
  3   18  6096.0     0.0  0.0  -138.4     0.0  0.0
  3   19  872.3      0.0  0.0  89.86      0.0  0.0
  3   20  -114.14    0.0  0.0  122.91     0.0  0.0
  3   21  -111.0     0.0  0.0  140.78     0.0  0.0
  3   22  -80.25     0.0  0.0  69.9       0.0  0.0
  3   23  -141.3     0.0  0.0  134.7      0.0  0.0
  3   24  -211.0     0.0  0.0  402.5      0.0  0.0
  3   25  3629.0     0.0  0.0  -97.05     0.0  0.0
  3   26  4448.0     0.0  0.0  -127.8     0.0  0.0
  3   27  -9.451     0.0  0.0  40.675     0.0  0.0
  3   28  393.6      0.0  0.0  19.56      0.0  0.0
  3   29  48.49      0.0  0.0  128.8      0.0  0.0
  3   30  4975.0     0.0  0.0  150.64     0.0  0.0
  3   31  259.0      0.0  0.0  26.41      0.0  0.0
  3   32  210.0      0.0  0.0  1112.0     0.0  0.0
  3   33  -152.55    0.0  0.0  614.52     0.0  0.0
  3   34  4284.0     0.0  0.0  -143.2     0.0  0.0
  3   35  -119.2     0.0  0.0  397.4      0.0  0.0
  3   36  -282.5     0.0  0.0  419.1      0.0  0.0
  3   37  101.4      0.0  0.0  -157.3     0.0  0.0
  3   38  5629.0     0.0  0.0  -240.2     0.0  0.0
  3   39  -245.39    0.0  0.0  839.83     0.0  0.0
  3   40  69.26      0.0  0.0  615.8      0.0  0.0
  3   43  46.38      0.0  0.0  6.214      0.0  0.0
  3   46  421.9      0.0  0.0  -19.45     0.0  0.0
  3   48  -203.6     0.0  0.0  274.1      0.0  0.0
  3   49  184.9      0.0  0.0  2.845      0.0  0.0
  3   51  233.51     0.0  0.0  347.13     0.0  0.0
  4   0   156.4      0.0  0.0  986.5      0.0  0.0
  4   1   457.0      0.0  0.0  524.1      0.0  0.0
  4   2   89.6       0.0  0.0  636.1      0.0  0.0
  4   3   25.82      0.0  0.0  803.2      0.0  0.0
  4   4   0.0        0.0  0.0  0.0        0.0  0.0
  4   5   -137.1     0.0  0.0  249.1      0.0  0.0
  4   6   353.5      0.0  0.0  -229.1     0.0  0.0
  4   7   -259.7     0.0  0.0  -451.6     0.0  0.0
  4   8   84.0       0.0  0.0  164.5      0.0  0.0
  4   9   -203.6     0.0  0.0  529.0      0.0  0.0
  4   10  101.1      0.0  0.0  245.4      0.0  0.0
  4   11  267.8      0.0  0.0  139.4      0.0  0.0
  4   12  28.06      0.0  0.0  237.7      0.0  0.0
  4   13  8.642      0.0  0.0  -242.8     0.0  0.0
  4   14  42.7       0.0  0.0  -150.0     0.0  0.0
  4   15  -323.0     0.0  0.0  28.6       0.0  0.0
  4   16  -52.39     0.0  0.0  -17.4      0.0  0.0
  4   17  170.029    0.0  0.0  -132.3     0.0  0.0
  4   18  6.712      0.0  0.0  185.4      0.0  0.0
  4   19  199.0      0.0  0.0  -151.0     0.0  0.0
  4   20  75.62      0.0  0.0  562.2      0.0  0.0
  4   21  65.28      0.0  0.0  527.6      0.0  0.0
  4   22  -98.12     0.0  0.0  742.1      0.0  0.0
  4   23  143.1      0.0  0.0  856.3      0.0  0.0
  4   24  123.5      0.0  0.0  325.7      0.0  0.0
  4   25  256.5      0.0  0.0  261.6      0.0  0.0
  4   26  157.1      0.0  0.0  561.6      0.0  0.0
  4   27  488.9      0.0  0.0  609.8      0.0  0.0
  4   28  147.5      0.0  0.0  461.6      0.0  0.0
  4   29  -120.46    0.0  0.0  521.63     0.0  0.0
  4   30  -318.93    0.0  0.0  267.6      0.0  0.0
  4   31  313.5      0.0  0.0  501.3      0.0  0.0
  4   32  202.1      0.0  0.0  524.9      0.0  0.0
  4   33  727.8      0.0  0.0  68.95      0.0  0.0
  4   34  -202.1     0.0  0.0  -25.87     0.0  0.0
  4   35  74.27      0.0  0.0  389.3      0.0  0.0
  4   36  225.8      0.0  0.0  738.9      0.0  0.0
  4   37  44.78      0.0  0.0  649.7      0.0  0.0
  4   38  -143.9     0.0  0.0  64.16      0.0  0.0
  4   40  190.3      0.0  0.0  88.63      0.0  0.0
  4   41  -817.7     0.0  0.0  1913.0     0.0  0.0
  4   42  -1712.8    0.0  0.0  430.06     0.0  0.0
  4   43  -504.2     0.0  0.0  796.9      0.0  0.0
