UNIFAC_parameters

-type
  modified

-list_of_main_groups
  0   54  34.57     -0.5165   0.0040991    167.3     -0.4946   -0.0016198 
  0   55  203.22    1.7137    0.0          663.27    -1.9942   0.0        
  0   56  309.8     0.7668    0.0          15.39     0.1534    0.0        
  0   58  107.57    0.0       0.0          -319.3    0.0       0.0        
  0   59  110.77    1.251     0.0          405.55    -1.4474   0.0        
  0   60  989.36    -3.3719   0.0049126    624.36    -5.2447   0.008056   
  0   61  17.26     3.1036    0.0          -1042.35  12.1353   0.0        
  0   63  -403.33   0.0       0.0          4894.4    0.0       0.0        
  0   64  926.48    0.0       0.0          31.72     0.0       0.0        
  0   74  232.17    0.0       0.0          -187.75   0.0       0.0        
  0   75  385.6     0.0       0.0          -51.98    0.0       0.0        
  0   76  -17.57    0.0       0.0          167.46    0.0       0.0        
  0   77  358.68    0.0       0.0          -38.18    0.0       0.0        
  0   78  -337.56   0.0       0.0          -197.25   0.0       0.0        
  0   79  -223.3    0.0       0.0          84.22     0.0       0.0        
  0   80  -980.5    0.0       0.0          -15.89    0.0       0.0        
  0   81  498.75    0.6562    0.0          -253.86   1.2476    0.0        
  0   82  338.61    0.0       0.0          312.0     0.0       0.0        
  0   83  58.22     0.0       0.0          -61.98    0.0       0.0        
  0   84  441.89    -0.1639   0.0          522.11    0.7502    0.0        
  0   85  800.97    0.0       0.0          -219.04   0.0       0.0        
  0   86  91.36     -0.4614   0.0          48.71     -0.3481   0.0        
  0   87  -3.79     3.3144    0.0          83.83     -1.0238   0.0        
  1   0   -125.99   -0.1271   0.0          257.05    -0.1011   0.0        
  1   1   0         0         0            0         0         0          
  1   2   -116.5    0.2659    0.0          146.29    -0.3015   0.0        
  1   3   2032.33   -4.9773   0.0          0.25      -0.2521   0.0        
  1   4   2529.96   -5.9572   0.0048653    1433.2    -6.2819   0.0075645  
  1   5   -670.14   16.5414   -0.032479    26.12     -0.2668   -0.00027287
  1   6   615.44    -1.1646   0.0          38.11     0.9518    0.0        
  1   7   4260.72   0.2571    0.0          1406.01   -2.8678   0.0        
  1   8   330.13    0.3412    0.0          221.24    -1.0604   0.0        
  1   9   496.71    0.4187    0.0          228.7     0.186     0.0        
  1   10  284.78    -0.7037   0.0          77.02     0.1425    0.0        
  1   11  -29.63    0.8242    0.0          322.48    -1.0911   0.0        
  1   12  -42.31    -0.0428   0.0          193.05    -0.1982   0.0        
  1   13  1953.46   -7.0768   0.012222     308.74    -6.0972   0.013128   
  1   14  224.8     0.0       0.0          -124.32   0.0       0.0        
  1   15  165.3     0.0       0.0          -131.5    0.0       0.0        
  1   16  -951.71   14.4763   -0.029467    1905.79   3.4861    -0.0070926 
  1   17  38.56     0.0       0.0          40.65     0.0       0.0        
  1   18  1277.88   0.2094    0.0          93.34     -1.0537   0.0        
  1   19  1701.95   19.6463   0.0          1239.81   -3.9068   0.0        
  1   20  517.72    -1.2257   0.0          -377.25   0.9614    0.0        
  1   21  133.15    -1.0507   0.0          -290.11   1.8391    0.0        
  1   22  -187.02   0.0       0.0          229.81    0.0       0.0        
  1   23  388.4     -1.6075   0.0          -570.92   2.3215    0.0        
  1   24  -236.62   -2.6996   0.0          1139.93   -3.9021   0.0        
  1   25  460.98    -0.6049   0.0          497.72    -2.0038   0.0        
  1   26  31138.75  0.0       0.0          9513.89   0.0       0.0        
  1   27  105.34    1.362     0.0          53.0      -1.034    0.0        
  1   29  171.67    5.288     0.0          388.06    -1.9355   0.0        
  1   30  -5.53     0.0       0.0          402.1     0.0       0.0        
  1   32  69.21     0.0       0.0          25.67     0.0       0.0        
  1   33  423.52    -2.7549   0.0022164    175.82    5.3428    0.0051961  
  1   34  -237.28   2.4268    0.0          52.88     -1.0493   0.0        
  1   35  4530.97   -13.9249  0.0          -1571.53  5.1153    0.0        
  1   36  -277.98   -0.2458   0.0          172.57    2.8499    0.0        
  1   37  141.1     -0.3025   0.0          -139.5    0.9076    0.0        
  1   38  -133.5    1.8647    0.0          120.21    -0.9548   0.0        
  1   39  -181.15   0.0138    6.8952e-05   435.82    0.6974    -0.0033228 
  1   40  -50.76    0.4625    0.0          -65.8     -0.2191   0.0        
  1   41  -143.93   0.3097    -0.0015527   -32.19    1.5306    -0.0011471 
  1   42  -281.35   -0.1869   0.0027673    1218.86   -5.2242   0.005373   
  1   43  1632.01   0.0       0.0          -46.47    0.0       0.0        
  1   44  308.81    0.0       0.0          -191.6    0.0       0.0        
  1   45  111.48    -0.1464   0.0          140.92    -0.1639   0.0        
  1   46  579.79    2.6531    0.0          251.43    -1.1265   0.0        
  1   47  -307.2    10.4628   0.0          248.05    -1.4533   0.0        
  1   48  1171.32   3.9213    0.0          90.01     -0.92     0.0        
  1   51  -210.49   0.3125    0.0          -85.11    0.2172    0.0        
  1   52  109.69    0.0       0.0          -33.59    0.0       0.0        
  1   54  -197.46   1.2309    0.0          277.95    -1.2635   0.0        
  1   56  12.23     -0.1679   0.0          70.1      2.7565    0.0        
  1   59  -1472.58  5.689     0.0          1104.03   -3.3013   0.0        
  1   60  597.02    0.905     -0.0071734   122.06    3.4776    -0.0132    
  1   63  522.03    0.0       0.0          -191.02   0.0       0.0        
  1   64  541.76    0.0       0.0          -46.56    0.0       0.0        
  1   83  -0.89     -0.1812   0.0          117.21    -0.1068   0.0        
  1   86  995.68    2.9005    -0.018504    -65.3     -1.3113   0.0025216  
  2   0   65.28     -0.4342   -0.000194    137.14    -0.32     0.0012503  
  2   1   146.29    -0.3015   0.0          -116.5    0.2659    0.0        
  2   2   0         0         0            0         0         0          
