UNIFAC_parameters

-type
  modified

-list_of_main_groups
  0   CH2       [0]CH3 [1]CH2 [2]CH [3]C 
  63   CS2         30  CS2         1.2400  1.0680  #example Carbon-disulfide: 1 CS2
  64   CH3SH       31  CH3SH       1.2890  1.7620  #example Methanethiol: 1 CH3SH
  65   CH2SH       31  CH3SH       1.5350  1.3160  #example Ethanethiol: 1 CH3, 1 CH2SH
  66   FURFURAL    32  FURFURAL    1.2990  1.2890  #example Furfural: 1 Furfural
  67   (CH2OH)2    33  (CH2OH)2    2.0880  2.4000  #example 1,2-Ethanediol: 1 (CH2OH)2
  68   I           34  I           1.0760  0.9169  #example 1-Iodoethane: 1 CH3, 1 CH2, 1 I
  69   BR          35  BR          1.2090  1.4000  #example 1-Bromoethane: 1 CH3, 1 CH2, 1 Br
  70   CH=-C       36  C=-C        0.9214  1.3000  #example 1-Hexyne: 1 CH3, 3 CH2, 1 CH≡C
  71   C=-C        36  C=-C        1.3030  1.1320  #example 2-Hexyne: 2 CH3, 2 CH2, 1 C≡C
  72   DMSO        37  DMSO        3.6000  2.6920  #example Dimethyl-Sulfoxide: 1 DMSO
  73   ACRY        38  ACRY        1.0000  0.9200  #example Acrylonitrile: 1 Acrylonitrile
  74   CL-(C=C)    39  CLCC        0.5229  0.7391  #example Trichloroethylene: 1 CH=C, 3 Cl(C=C)
  75   ACF         40  ACF         0.8814  0.7269  #example Hexafluorobenzene: 6 ACF
  76   DMF         41  DMF         2.0000  2.0930  #example N,N- Dimethylformamide: 1 DMF
  77   HCON(CH2)2  41  DMF         2.3810  1.5220  #example N,N- Diethylformamide: 2 CH3, 1 HCON(CH2)2
  78   CF3         42  CF2         1.2840  1.2660  #example Perfluorohexane: 2 CF3, 4 CF2
  79   CF2         42  CF2         1.2840  1.0980  #example Perfluorohexane: 2 CF3, 4 CF2
  80   CF          42  CF2         0.8215  0.5135  #example Perfluormethyl-cyclohexane: 1 CH3, 5 CH2, 1 CF
  81   COO         43  COO         1.6000  0.9000  #example Dimethyl oxalate: 2 CH3, 2 COO
  82   c-CH2       44  c-CH2       0.7136  0.8635  #example cyclohexane: 6 c-CH2
  83   c-CH        44  c-CH2       0.3479  0.1071  #example methylcyclohexane: 1 CH3, 5 c-CH2, 1 c-CH
  84   c-C         44  c-CH2       0.3470  0.0000  #example 1,1 - dimethylcyclohexane: 2 CH3, 5 c-CH2; 1 c-C
  85   NMP         45  c-CONC      3.9810  3.2000  #example N-methyl pyrrolidone: 1 cy-CON-CH3, 3 c-CH2
  86   NEP         45  c-CONC      3.7543  2.8920  #example N-ethyl pyrrolidone: 1 cy-CON-CH2, 3 c-CH2, 1 CH3
  87   NIPP        45  c-CONC      3.5268  2.5800  #example N-isopropyl pyrrolidone: 1 cy-CON-CH, 3 c-CH2, 2 CH3
  88   NTBP        45  c-CONC      3.2994  2.3520  #example N-tert-butyl pyrrolidone: 1 cy-CON-C, 3 c-CH2, 3 CH3
  89   CONH2       46  CONR        1.4515  1.2480  #example Acetamide: 1 CH3, 1 AmH2
  90   CONHCH3     46  CONR        1.5000  1.0800  #example N-Methylacetamide: 1 CH3, 1 AmHCH3
  91   CONHCH2     46  CONR        1.5000  1.0800  #example N-Ethylacetamide: 2 CH3, 1 AmHCH2
  92   HCONHCH3    47  HCONR       2.4617  2.1920  #example n-methylformamide: 1 HCONHCH3
  93   HCONHCH2    47  HCONR       2.4617  1.8420  #example n-ethylformamide: 1 HCONHCH2, 1 CH3
  94   Am(CH3)2    48  CONR2       2.4748  1.9643  #example N,N-Dimethylacetamide: 1 CH3, 1 Am(CH3)2
  95   AmCH3CH2    48  CONR2       2.2739  1.5754  #example N,N-Methylethylacetamide: 2 CH3, 1 AmCH3CH2
  96   Am(CH2)2    48  CONR2       2.0767  1.1866  #example N,N-Diethylacetamide: 3 CH3, 1 Am(CH2)2
  97   AC2H2S      49  ACS         1.7943  1.3400  #example Thiophene: 1 AC2H2S, 2 ACH
  98   AC2HS       49  ACS         1.6282  1.0600  #example 2 - Methylthiophene: 1 CH3, 1 AC2HS, 2 ACH
  99   AC2S        49  ACS         1.4621  0.7800  #example 2,5 - Dimethylthiophene: 2 CH3, 1 AC2S, 2 ACH
  100  H2COCH      50  EPOXIDES    1.3601  1.8031  #example 1,2-Epoxybutane: 1 H2COCH, 1 CH2, 1 CH3
  101  COCH        50  EPOXIDES    0.6830  0.3418  #example 2-methyl 2,3-butylene oxide: 1 HCOC, 3 CH3
  102  HCOCH       50  EPOXIDES    0.9104  0.6538  #example 2,3-Epoxybutane: 1 HCOCH, 2 CH3
  103  H2COCH2     50  EPOXIDES    1.0630  1.1230  #example ethylene oxide: 1 H2COCH2
  104  H2COC       50  EPOXIDES    0.9104  0.6538  #example 1,2-Epoxy-2- methylpropane: 1 H2COC, 2 CH3
  105  (CH2)2Su    51  SULFONE     2.6870  2.1200  #example Sulfolane: 1 (CH2)2Su, 2 CH2
  106  CH2SuCH     51  SULFONE     2.4600  1.8080  #example 2,4- dimethylsulfolane: 1 CH2CHSu, 2 CH3, 1 CH2, 1 CH
  107  (CH3)2-cb   52  CARBONAT    2.4200  2.4976  #example dimethylcarbonate: 1 (CH3)2-cb
  108  (CH2)2-cb   52  CARBONAT    2.4200  2.0018  #example diethylcarbonate: 1 (CH2)2-cb, 2 CH3
  109  CH2CH3-cb   52  CARBONAT    2.4200  2.2497  #example methyl ethyl carbonate: 1 CH2CH3-cb, 1 CH3
  110  CH3S        53  CH2S        1.6130  1.3680  #example Dimethylsulfide: 1 CH3, 1 CH3S
  111  CH2S        53  CH2S        1.3863  1.0600  #example Diethylsulfide: 2 CH3, 1 CH2, 1 CH2S
  112  CHS         53  CH2S        1.1589  0.7480  #example Diisopropylsulfide: 4 CH3, 1 CH, 1 CHS
  113  C3H2N2+     54  IMIDAZOL    1.3662  0.6797
  114  C3H3N2+     54  IMIDAZOL    1.8430  1.6997
  115  BTI-        55  BTI         5.6210  5.9463
  116  C4H8N+      56  PYRROL      2.7867  2.7723
  117  BF4-        57  BF4         3.9628  0.6214
  118  C5H5N+      58  PYRIDIN     2.1094  2.5106
  119  C5H4N+      58  PYRIDIN     2.4873  2.4457
  120  OTF-        59  OTF         3.3710  2.0001
  121  -S-S-       60  -S-S-       1.0678  2.2440  #example Dimethyl disulfide: 2 CH3, 1 -S-S-
  122  SO4         61  SO4         0.9903  3.5249
  123  HSO4        61  SO4         1.5654  3.8076
  124  PF6         62  PF6         3.8183  3.6018

-list_of_interaction_parameters
  0   0   0          0            0             0          0            0           
  0   1   189.66     -0.27232     0.0           -95.41801  0.061708     0.0         
  0   2   114.2      0.0933       0.0           16.07      -0.2998      0.0         
  0   3   7.339      -0.4538      0.0           47.2       0.3575       0.0         
  0   4   2777.0     -4.674       0.001551      1606.0     -4.746       0.0009181   
  0   5   2409.4     -3.0099      0.0           82.593     -0.48575     0.0         
  0   6   1391.3     -3.6156      0.001144      -17.253    0.8389       0.0009021   
  0   7   1381.0     -0.9977      0.0           1987.0     -4.615       0.0         
  0   8   433.6      0.1473       0.0           199.0      -0.8709      0.0         
  0   9   875.85     0.0          0.0           256.21     0.0          0.0         
  0   10  98.65601   1.9294       -0.0031331    632.22     -3.3912      0.0039282   
  0   11  508.4      -0.6215      0.0           238.5      -0.5358      0.0         
  0   12  233.1      -0.3155      0.0           -9.654     -0.03242     0.0         
  0   13  79.507     0.70892      -0.0020983    186.71     -1.3546      0.0024016   
  0   14  -164.04    4.9683       -0.010252     326.04     -2.6348      0.0033576   
  0   15  350.58     0.066729     0.0           207.26     -1.0916      0.0         
  0   16  -175.7     1.857        0.0           205.65     -1.4436      0.0         
  0   17  958.74     -0.14836     0.0           2257.3     -5.6676      0.0         
  0   18  1802.3     -17.171      0.036         -436.15    3.4225       -0.0087     
  0   19  593.07     0.7335       0.0           293.81     -1.3979      0.0         
  0   20  1182.2     -3.2647      0.009198      2017.7     -9.0933      0.010238    
  0   21  1935.7     0.0          0.0           -21.23     0.0          0.0         
  0   22  401.0      -0.72772     0.0           -65.68501  0.074091     0.0         
  0   23  -233.66    1.2561       0.0           311.55     -1.1856      0.0         
  0   24  164.25     -0.26834     0.0           -44.069    0.027778     0.0         
  0   25  -653.74    4.5311       -0.008735     1302.6     -8.427       0.014417    
  0   26  267.51     -1.7109      0.003388      -148.07    1.0927       -0.002416   
  0   27  -1385.0    15.89        -0.04831      3264.0     -20.84       0.03317     
  0   28  2345.0     -13.2        0.02156       -396.5     3.092        -0.006266   
  0   29  2383.0     -2.693       0.0           1744.0     -4.082       0.0         
  0   30  24.33      1.521        0.0           72.12      -1.126       0.0         
  0   31  465.9      -0.8557      0.0           -59.9      -0.008313    0.0         
  0   32  577.7      0.9384       0.0           210.5      -1.081       0.0         
  0   33  897.7      0.0          0.0           28.17      0.0          0.0         
  0   34  559.9      -0.3564      0.0           166.0      -0.7116      0.0         
  0   35  527.7      -0.499       0.0           -62.08     -0.3658      0.0         
  0   36  477.5      -0.6581      0.0           -22.04     -0.1018      0.0         
  0   37  -547.5     3.457        0.0           477.1      -2.175       0.0         
  0   38  1662.0     0.0          0.0           -291.9     0.0          0.0         
  0   39  334.5      0.009102     0.0           3.202      -0.6894      0.0         
  0   40  468.5      -1.042       0.0           -160.3     -0.0108      0.0         
  0   41  406.2      0.6525       0.0           151.0      -0.9023      0.0         
  0   42  342.0      -1.679       0.0           -484.3     2.467        0.0         
  0   43  1312.0     -3.643       0.0           -314.6     1.287        0.0         
  0   44  -117.1     0.5481       -0.00098      170.9      -0.8062      0.001291    
  0   45  677.32     -2.0066      0.0           -249.85    1.7054       0.0         
  0   46  3150.86    -3.1003      0.0           189.911    -0.9413      0.0         
  0   47  -923.282   7.80959      -0.008808     183.02     -1.22588     0.000583    
  0   48  1529.52    -6.2025      0.00975       82.6       -0.615       -0.000623   
  0   49  24.432     0.2915       0.0           -16.034    -0.5337      0.0         
  0   50  269.67     0.0          0.0           -41.0      0.0          0.0         
  0   51  1058.31    -1.1856      0.0           438.76     -1.2256      0.0         
  0   52  407.47     -0.2037      -0.00016      -0.067     -0.3935      4e-05       
  0   53  860.51     -1.96009     0.0           -309.943   0.64856      0.0         
  0   54  70.38      0.24511      0.0           77.7793    0.83298      0.0         
  0   55  1260.02    -4.55446     0.0067607     996.5333   -5.48462     0.0095873   
  0   56  283.8202   -3.9547      0.0103753     907.3842   0.46568      -0.0055872  
  0   57  360.8016   2.05302      -0.0166992    454.5569   -1.47382     0.0010454   
  0   58  656.528    -4.2237      0.0074475     -307.8627  3.60996      -0.0081757  
  0   59  1094.303   -1.11888     0.0           243.462    -1.03559     0.0         
  0   60  468.398    -2.55668     0.0           2660.16    -6.86512     0.0         
  0   61  1859.374   4.06308      0.0           1131.305   -0.93175     0.0         
  0   62  4041.479   -3.90698     -0.0254482    3504.325   2.66288      -0.0330202  
  1   0   -95.41801  0.061708     0.0           189.66     -0.27232     0.0         
  1   1   0          0            0             0          0            0           
  1   2   174.1      -0.5886      0.0           -157.2     0.6166       0.0         
  1   3   117.3      -0.8552      0.0           -113.1     1.172        0.0         
  1   4   2649.0     -6.508       0.004822      1566.0     -5.809       0.005197    
  1   5   -628.07    10.0         -0.014972     -96.297    0.6304       -0.0018     
  1   6   778.3      0.1482       0.0           -1301.0    4.072        0.0         
  1   7   1207.0     -1.955       0.0           191.6      0.4936       0.0         
  1   8   179.8      0.69911      0.0           91.811     -0.71715     0.0         
  1   9   476.25     0.0          0.0           202.49     0.0          0.0         
  1   10  980.74     -2.4224      0.0           -582.82    1.6732       0.0         
  1   11  309.8      0.0          0.0           -28.63     0.0          0.0         
  1   12  733.3      -2.509       0.0           -844.3     2.945        0.0         
  1   13  -322.1     -0.20367     0.004517      1182.6     -5.0         0.0037455   
  1   14  1857.0     -8.653001    0.01088       498.8      -5.148       0.01039     
  1   15  224.8      0.0          0.0           -124.32    0.0          0.0         
  1   16  165.3      0.0          0.0           -131.5     0.0          0.0         
  1   17  2800.0     -10.72       0.01339       3982.0     -19.72       0.02783     
  1   18  13.502     0.0          0.0           -13.317    0.0          0.0         
  1   19  634.85     0.0          0.0           -181.93    0.0          0.0         
  1   20  -2026.1    8.1549       0.0           -347.5     1.216        0.0         
  1   22  498.9      -1.487       0.0           -359.6     1.238        0.0         
  1   23  -44.958    0.0          0.0           55.881     0.0          0.0         
  1   24  389.28     0.0          0.0           -174.41    0.0          0.0         
  1   25  -204.51    0.0          0.0           255.41     0.0          0.0         
  1   26  616.62     -2.1164      0.0           -663.45    2.3281       0.0         
  1   27  -56.69     9.805        0.0           215.5      -1.519       0.0         
