114;(CH3O)COOCH2;ethyl methyl carbonate;1 (CH3O) COOCH2, 1 CH3;
199;(ACO)COOCH2;ethyl phenyl carbonate;1 (ACO)COOCH2, 5 ACH, 1 CH3;
200;(ACO)CO(OAC);diphenyl carbonate;1 (ACO)COOCH2, 10 ACH;
(56) Sulfone;;;;
110;CH2SuCH2;sulfolane;1 CH2SuCH2, 2 cy-CH2;
111;CH2SuCH ;2,4-dimethylsulfolane;1 CH2SuCH, 2 CH3, 1 cy-CH2, 1 cy-CH;
122;ACSO2;methyl phenyl sulfone;1 (AC) SO2, 5 ACH, 1 CH3;
(57) ACCHO;;;;
123;ACCHO;benzaldehyde;1 ACCHO,  5 ACH;
(58) ACCOOH;;;;
124;ACCOOH;benzoic acid;1 ACCOOH, 5 ACH;
(59) AC-O-CO;;;;
127;AC-O-CO-CH3 ;phenyl acetate;1 ACOOCH3, 5 ACH;
128;AC-O-CO-CH2;phenyl propionate;1 ACCOOCH2, 5 ACH, 1 CH3;
129;AC-O-CO-CH;phenyl isobutyrate;1 ACCOOCH, 5 ACH, 2 CH3;
130;AC-O-CO-C;phenyl tert-pentanoate;1 ACCOOC, 5 ACH, 3 CH3;
(60) OCCOH;;;;
131;-O-CH2-CH2-OH;2-ethoxyethanol;1 -O-CH2-CH2-OH, 1 CH3, 1 CH2 ;
132;-O-CH-CH2-OH;2-ethoxy-1-propanol;1 -O-CH-CH2-OH, 2 CH3, 1 CH2 ;
133;-O-CH2-CH-OH;1-methoxy-2-propanol;1 -O-CH2-CH-OH, 2 CH3;
(61) CH2S;;;;
134;CH3-S-;dimethyl sulfide;1 CH3-S-, 1 CH3;
135;-CH2-S-;diethyl sulfide;1 -CH2-S-, 1 CH2,  2 CH3;
136;>CH-S-;diisopropyl sulfide ;1 >CH-S-. 1 CH, 4 CH3;
137;->C-S-;methyl tert-butyl sulfide;1 ->C-S-, 4 CH3;
187;ACS;methyl phenyl sulfide;1 ACS, 5 ACH, 1 CH3;
(62) Lactam;;;;
125;c-CO-NH;propiolactam;1 c-CONH, 2 c-CH2;
(63) Lactone;;;;
126;c-CO-O;propiolactone;1 c-CO-O, 2 c-CH2;
(64) Peroxide;;;;
138;CH3O-(O);dimethyl peroxide;1 CH3-O-(O), 1 CH3;
139;CH2O-(O);diethyl peroxide;1 CH2O-(O), 2 CH3, 1 CH2;
140;CHO-(O);diisopropyl peroxide;1 CHO-(O), 4 CH3, 1 CH;
141;CO-(O);di-tert-butyl peroxide;1 CO-(O), 6 CH3, 1 C;
142;ACO-(O);acetyl benzoyl peroxide;1 ACO-(O), C=O, Ph;
(65) CFH;;;;
143;CFH;fluoromethylene;1 CFH;
(66) CFCl;;;;
144;CFCl;chlorofluoromethylene;1 CFCl;
(67) CFCl2;;;;
145;CFCl2;tetrachloro-1,2-difluoroethane;2 CFCl2;
(68) CF2H;;;;
146;CF2H;difluoromethyl;1 CF2H;
(69) CF2ClH;;;;
147;CF2ClH;chlorodifluoromethane;1 CF2ClH;
(70) CF2Cl2;;;;
148;CF2Cl2;dichlorodifluoromethane;1 CF2Cl2;
(71) CF3H;;;;
149;CF3H;fluoroform;1 CHF3;
(72) CF3Cl;;;;
150;CF3Cl;chlorotrifluoromethane;1 CF3Cl ;
(73) CF4;;;;
151;CF4;tetrafluoromethane;1 CF4;
(74) Acetal;;;;
152;C(O)2;ethane, 1,1-diethoxy-;2 C(O)2, 3 CH3;
186;CH(O)2;aspirin;2 CH(O)2, 1 CH3, 4 ACH, 2 AC;
309;CH2(O)2;;;
(75) ACNR2;;;;
153;ACN(CH3)2;n,n-dimetylaniline;1 ACN(CH3)2, 5 ACH;
154;ACN(CH3)CH2;n-ethyl-n-methyl aniline;1 ACN(CH3)(CH2), 5 ACH, 1 CH3;
155;ACN(CH2)2;n,n-diethylaniline;1 ACN(CH2)2, 5 ACH, 2 CH3;
(76) ACNR;;;;
156;ACNHCH3;n-methylaniline;1 ACNCH3, 5 5ACH;
157;ACNHCH2;n-ethylaniline;1 ACNCH2, 5 ACH, 1 CH3;
158;ACNHCH;n-isopropyanline;1 ACNCH, 5 ACH, 2 CH3;
(77) Furan;;;;
159;AC2H2O;furan;1 AC2H2O, 2 ACH;
160;AC2HO;benzaldehyde,2-(-oxoethenyl)-;1 AC2HO, 1 ACHO, 2 AC, 4 ACH;
161;AC2O;dibenzofuran;1 AC2O, 8 ACH, 2 AC;
(78) c-CNH;;;;
188;c-CH2-NH;piperazine;1 c-CH2-NH, 2 c-CH2;
162;c-CH-NH;2,6-lupetidine;1 c-CH-NH, 2 CH3, 3 c-CH2;
163;c-C-NH;6-aminohexanoic acid;1 C-NH, 1 c-C, 1 CO, 5 c-CH;
(79) c-CNR;;;;
189;c-CH2-NCH3;n-methylpiperidine;1 c-CH2-NCH3, 4 c-CH2;
190;c-CH2-NCH2;n-ethylpiperidine;1 c-CH2-NCH2, 4 c-CH2, 1 CH3;
191;c-CH2-NCH;n-isopropyl-piperidine;1 c-CH2-NCH, 4 c-CH2, 2 CH3;
164;c-CH-NCH3;1,2-dimethyl-piperidine;1 c-CH-NCH3, 4 c-CH2, 1 CH3;
165;c-CH-NCH2;1-ethyl-2-methyl-piperidine;1 c-CH-NCH2, 4 c-CH2, 2 CH3;
166;c-CH-NCH;n-isopropyl-2-methyl-piperidine;1 c-CH-NCH, 4 c-CH2, 3 CH3;
(80) SiH;;;;
170;SiH3-;methylsilane;1 SiH3-, 1 CH3;
171;-SiH2-;diethylsilane;1 -SiH2-. 2 CH2, 2 CH3;
172;>SiH-;heptamethyltrisiloxane;1 >SiH-. 7 CH3, 2 ->SiO-;
173;>Si<;hexamethyldisiloxane;1 >Si<, 6 CH3, 1 ->SiO-;
(81) SiO;;;;
174;-SiH2-O-;1,3-dimethyldisiloxane;1 -SiH2-O-, 2 CH3, 1 -SiH2-;
175;>SiH-O-;1,1,3,3-tetramethyldisiloxane;1 >SiH-O-, 4 CH3, 1 >SiH-;
176;->Si-O-;octamethylcyclotetrasiloxane;4 ->Si-O-, 8 CH3;
(82) Oxime;;;;
309;CH=NOH;propanal oxime;1 CH=NOH, 1 CH3, 1 CH2;
177;C=NOH;2-propanone oxime;1 C=NOH, 2 CH3;
(83) ACCOO;;;;
178;ACCO;acetophenone;1 ACCO, 5 ACH, 1 CH3;
(84) C2Cl4;;;;
179;C2Cl4;tetrachloroethene;1 C2Cl4;
(92) c-CHNH2;;;;
180;c-CHH2;cyclohexylamine;1 c-CHNH2, 5 c-CH2;
(95) c-C=C;;;;
201;c-CH=CH;cyclohexene;1 c-CH=CH, 4 c-CH2;
202;c-CH=C;1-methylcyclohexene;1 c-CH-C, 1 CH3, 4 c-CH2;
203;c-C=C;1,2-dimethylcyclohexene;1 c-C=C, 2 CH3, 4 c-CH2;
(96) Glycerol;;;;
204;Glycerol;glycerol;1 Glycerol;
