32;;;;
i;j;a(i.j);0;0
21;4;-53.29;0;0
21;5;2011;0;0
21;8;63.48;0;0
22;1;175.8;0;0
22;3;-218.9;0;0
22;4;-15.41;0;0
22;5;529;0;0
22;6;264.7;0;0
22;7;264.7;0;0
22;8;-239.8;0;0
23;1;94.34;0;0
23;2;375.4;0;0
23;3;113.6;0;0
23;4;-97.05;0;0
23;5;483.8;0;0
23;8;13.32;0;0
24;1;193.6;0;0
24;3;7.180;0;0
24;4;-127.1;0;0
24;5;332.6;0;0
24;8;439.9;0;0
25;1;108.5;0;0
25;3;247.3;0;0
25;4;453.4;0;0
25;5;-289.3;0;0
25;8;-424.3;0;0
26;1;81.49;0;0
26;3;-50.71;0;0
26;4;-30.28;0;0
26;5;-99.56;0;0
27;1;-128.8;0;0
27;3;-877.3;0;0
27;4;-124.6;0;0
27;5;-319.2;0;0
27;8;203;0;0
28;1;147;0;0
28;5;837.9;0;0
28;8;1153;0;0
29;1;-11.91;0;0
29;2;176.7;0;0
29;3;-80.48;0;0
29;8;311;0;0
30;1;14.91;0;0
30;2;132.1;0;0
30;3;-17.78;0;0
30;8;-262.6;0;0
31;1;67.84;0;0
31;2;42.73;0;0
31;3;59.16;0;0
31;4;26.59;0;0
31;8;1.11;0;0
32;1;36.42;0;0
32;2;60.82;0;0
32;3;29.77;0;0
32;4;55.97;0;00
